index,work_id,subject
283,29684,Portraits
284,29686,Portraits
285,29688,Nude
286,29694,Nude
287,29696,Nude
288,29698,Portraits
289,29700,Portraits
290,29704,Nude
291,29704,Summer
292,29712,Nude
293,29714,Nude
294,29718,Nude
295,29722,U.S. Presidents
296,25595,Bridges
297,25595,Churches/Temples/Mosques
298,182387,Still-Life
299,182398,Nude
300,156969,Christianity
301,192348,Portraits
302,175506,Nude
303,29772,Nude
304,29774,Portraits
305,29776,Portraits
306,175438,Still-Life
307,29784,Musics
308,29784,Still-Life
309,29786,Flowers
310,29786,Still-Life
311,29788,Still-Life
312,29790,Summer
313,176823,Still-Life
314,176833,Dogs
315,122099,Still-Life
316,122110,Still-Life
317,122141,Flowers
318,122132,Flowers
319,122159,Flowers
320,122121,Musics
321,122121,Still-Life
322,122066,Musics
323,122077,Still-Life
324,122088,Still-Life
325,23159,Architectures
326,23165,Architectures
327,23163,Architectures
328,23167,Architectures
329,23167,Bridges
330,23167,Rivers/Lakes
331,23169,Architectures
332,23169,Bridges
333,23173,Architectures
334,23171,Architectures
335,23177,Architectures
336,23177,Rivers/Lakes
337,23175,Architectures
338,23175,Rivers/Lakes
339,23161,Architectures
340,23179,Architectures
341,23181,Architectures
342,23183,Architectures
343,23183,Bridges
344,23183,Rivers/Lakes
345,23185,Architectures
346,23185,Rivers/Lakes
347,23189,Architectures
348,23191,Architectures
349,23193,Architectures
350,23195,Architectures
351,23197,Architectures
352,23199,Architectures
353,23201,Architectures
354,23203,Architectures
355,31754,Musics
356,31768,Horses
357,31776,Portraits
358,31772,Portraits
359,27970,Jesus Christ
360,27994,Portraits
361,27996,Portraits
362,27998,Portraits
363,28000,Portraits
364,28002,Portraits
365,28004,Portraits
366,28006,Portraits
367,28008,Portraits
368,27984,Portraits
369,28012,Portraits
370,28014,Portraits
371,28016,Portraits
372,28018,Portraits
373,28020,Portraits
374,28022,Portraits
375,124136,Nude
376,124169,Nude
377,124147,Nude
378,23021,Flowers
379,23035,Musics
